PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
1591,0,0,892,OH,20397,PSA Airlines Inc.,7028,D,OH,PSA Airlines Inc.,2,2,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,2025,1,1,2,F
1591,0,0,895,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,15295,1529503,35165,TOL,"Toledo, OH",OH,39,Ohio,44,14761,1476107,34761,SFB,"Sanford, FL",FL,12,Florida,33,2025,1,1,2,F
1592,0,0,700,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,3,3,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,37,North Carolina,36,2025,1,1,2,F
1593,0,0,296,NK,20416,Spirit Air Lines,6830,D,NK,Spirit Air Lines,3,3,14831,1483106,32457,SJC,"San Jose, CA",CA,6,California,91,10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91,2025,1,1,1,F
1593,0,0,624,OH,20397,PSA Airlines Inc.,7028,D,OH,PSA Airlines Inc.,2,2,11423,1142308,31423,DSM,"Des Moines, IA",IA,19,Iowa,61,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2025,1,1,2,F
1594,0,0,454,XP,20207,TEM Enterprises dba  Avelo Airlines,6144,D,XP,TEM Enterprises dba  Avelo Airlines,2,2,15023,1502305,34433,STS,"Santa Rosa, CA",CA,6,California,91,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2025,1,1,1,F
1595,0,0,489,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,12266,1226603,31453,IAH,"Houston, TX",TX,48,Texas,74,14193,1419306,33728,PNS,"Pensacola, FL",FL,12,Florida,33,2025,1,1,1,F
1596,0,0,207,9E,20363,Endeavor Air Inc.,7024,D,9E,Endeavor Air Inc.,2,2,15380,1538005,35380,TVC,"Traverse City, MI",MI,26,Michigan,43,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,2025,1,1,1,F
1596,0,0,454,XP,20207,TEM Enterprises dba  Avelo Airlines,6144,D,XP,TEM Enterprises dba  Avelo Airlines,2,2,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,15023,1502305,34433,STS,"Santa Rosa, CA",CA,6,California,91,2025,1,1,1,F
1596,0,0,1142,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,14877,1487706,34877,SLN,"Salina, KS",KS,20,Kansas,62,14533,1453302,34454,RIV,"Riverside, CA",CA,6,California,91,2025,1,1,3,L
1597,0,0,887,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,12003,1200305,31895,GTF,"Great Falls, MT",MT,30,Montana,84,2025,1,1,2,F
1598,0,0,383,OH,20397,PSA Airlines Inc.,7028,D,OH,PSA Airlines Inc.,2,2,10781,1078105,30781,BTR,"Baton Rouge, LA",LA,22,Louisiana,72,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2025,1,1,1,F
1598,0,0,587,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,10676,1067603,30676,BLV,"Belleville, IL",IL,17,Illinois,41,15624,1562404,31504,VPS,"Valparaiso, FL",FL,12,Florida,33,2025,1,1,2,F
1599,0,0,272,ZW,20046,Air Wisconsin Airlines Corp,6024,D,ZW,Air Wisconsin Airlines Corp,2,2,11612,1161206,31612,EVV,"Evansville, IN",IN,18,Indiana,42,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,2025,1,1,1,F
1599,0,0,762,OH,20397,PSA Airlines Inc.,7028,D,OH,PSA Airlines Inc.,2,2,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,2025,1,1,2,F
1599,0,0,983,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,3,3,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,2025,1,1,2,F
1599,1056,0,1610,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,10257,1025702,30257,ALB,"Albany, NY",NY,36,New York,22,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,2025,1,1,4,F
1600,0,0,250,2JQ,21718,Delux Public Charter LLC,1202,D,2JQ,Delux Public Charter LLC,1,6,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,14712,1471201,30466,SCF,"Phoenix, AZ",AZ,4,Arizona,81,2025,1,1,1,L
1600,0,0,740,9E,20363,Endeavor Air Inc.,7024,D,9E,Endeavor Air Inc.,2,2,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2025,1,1,2,F
1600,0,0,2508,HA,19690,Hawaiian Airlines Inc.,5375,D,HA,Hawaiian Airlines Inc.,3,3,14893,1489302,33192,SMF,"Sacramento, CA",CA,6,California,91,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,2025,1,1,6,F
